stddev,avg_cost,k
2.5289543876262774,1.56835654782,0
2.250248776146407,1.40294507953,1
1.7488181723493492,0.901641533684,2
1.6139731172250522,1.06414423118,3
1.5876482121005286,1.00219966486,4
1.2419583227947437,0.945055374481,5
1.1567026871262065,0.78569530288,6
1.1416347150219368,0.910924450903,7
1.000270936633443,0.710191582081,8
0.8920633692517553,0.619242717392,9
0.7271215819536399,0.425340632919,10
0.8716939393214004,0.749189565296,11
0.821469165833525,0.573208352947,12
0.691957390703043,0.43752376825,13
0.6400442797596234,0.380592244653,14
0.6316050806946377,0.428152343353,15
0.648186209135211,0.455076569014,16
0.5529519870309169,0.347503438594,17
0.5727140702616417,0.424213260997,18
0.6464980930153161,0.562623219288,19
0.5192340163166268,0.360467823473,20
0.5917216629392023,0.556668041159,21
0.5534153366194048,0.541771259804,22
0.5466795471183958,0.395974462086,23
0.4626678898353682,0.385992957183,24
0.44741422232887607,0.344613705535,25
0.43291597863453235,0.281579595502,26
0.44958471588486326,0.323077328622,27
0.3989017149923659,0.293797746304,28
0.30182742539738444,0.223536725459,29
0.36392781989616,0.251159658249,30
0.3981666602131632,0.275776487745,31
0.47675982261774624,0.42284515155,32
0.33065427958292254,0.296194621533,33
0.3389766002728371,0.273987600899,34
0.33176341845034857,0.23926598581,35
0.41169743558898114,0.378762213496,36
0.32301663378736256,0.259453492273,37
0.298232107440801,0.249401700894,38
0.3178817962854199,0.309487350917,39
0.4084351547387123,0.519577663214,40
0.3419490786732133,0.344662752626,41
0.24687129542658343,0.28550163836,42
0.3248379871881072,0.229488508355,43
0.279518016746307,0.285579885153,44
0.3401255546622895,0.339417800056,45
0.3296979498805534,0.268336302489,46
0.31835813873217916,0.279439431815,47
0.27338193426288243,0.271047736293,48
0.2657859798245385,0.372514002365,49
0.25120992157009153,0.238063854064,50
0.20215914621932887,0.175874925329,51
0.24944088359138905,0.253665655469,52
0.22066451919723407,0.184823524364,53
0.24398843980123758,0.275202148277,54
0.2141488653606935,0.240883965383,55
0.18697655368117902,0.182609391309,56
0.19819181124512744,0.192952693443,57
0.23949143927237487,0.208992006576,58
0.19642787141860224,0.194191157616,59
0.21931640993237106,0.203589439994,60
0.20086429194020294,0.185133931254,61
0.2785852200205061,0.272311044274,62
0.2627986587933699,0.278272721558,63
0.2520080714304869,0.256216528352,64
0.18583631003143244,0.167737112997,65
0.1799571303959986,0.208152368754,66
0.21301240463467824,0.185568294804,67
0.20388597132391495,0.224262122922,68
0.21395797568847857,0.242290285284,69
0.18016449213694155,0.231266679369,70
0.22927397788530093,0.256352118917,71
0.17360035672141205,0.211094815117,72
0.14703066599799794,0.194378112165,73
0.15526287264063365,0.181045517846,74
0.14147837926988246,0.226205107639,75
0.18103958227134562,0.211876020585,76
0.14892516225413113,0.165905580454,77
0.1563541042236019,0.218953650438,78
0.1308736905479905,0.179805075024,79
0.13160019980068507,0.20910951453,80
0.1470246042721576,0.157284936741,81
0.16509882490150413,0.193991845458,82
0.15539503747403768,0.220382921986,83
0.1870352960187135,0.207425937712,84
0.09663394622362417,0.130378645833,85
